학년,열람실,번호,배치유무
3학년,서암(평상),1,closed
3학년,서암(평상),2,closed
3학년,서암(평상),3,closed
3학년,서암(평상),4,closed
졸업생,서암(평상),5,closed
3학년,서암(평상),6,closed
3학년,서암(평상),7,closed
3학년,서암(평상),8,closed
3학년,서암(평상),9,closed
3학년,서암(평상),10,closed
3학년,서암(평상),11,closed
3학년,서암(평상),12,closed
2학년,서암(평상),13,closed
2학년,서암(평상),14,closed
3학년,서암(평상),15,closed
3학년,서암(평상),16,closed
3학년,서암(평상),17,closed
3학년,서암(평상),18,closed
3학년,서암(평상),19,closed
3학년,서암(평상),20,closed
2학년,서암(평상),21,closed
2학년,서암(평상),22,closed
2학년,서암(평상),25,closed
2학년,서암(평상),26,closed
2학년,서암(평상),29,closed
2학년,서암(평상),30,closed
2학년,서암(평상),31,closed
2학년,서암(평상),32,closed
2학년,서암(평상),33,closed
2학년,서암(평상),34,closed
2학년,서암(평상),35,closed
2학년,서암(평상),36,closed
2학년,서암(평상),37,closed
2학년,서암(평상),38,closed
2학년,서암(평상),39,closed
2학년,서암(평상),40,closed
2학년,서암(평상),41,closed
2학년,서암(평상),42,closed
2학년,서암(평상),43,closed
2학년,서암(평상),44,closed
2학년,서암(평상),45,closed
2학년,서암(평상),46,closed
2학년,서암(평상),47,closed
2학년,서암(평상),48,closed
2학년,역사관(평상),1,open
2학년,역사관(평상),2,open
2학년,역사관(평상),3,open
2학년,역사관(평상),4,open
2학년,역사관(평상),5,open
2학년,역사관(평상),6,open
2학년,역사관(평상),7,open
2학년,역사관(평상),8,open
2학년,역사관(평상),9,open
2학년,역사관(평상),10,open
2학년,역사관(평상),11,open
2학년,역사관(평상),12,open
2학년,역사관(평상),13,open
2학년,역사관(평상),14,open
2학년,역사관(평상),15,open
2학년,역사관(평상),16,open
3학년,역사관(평상),17,open
3학년,역사관(평상),18,open
3학년,역사관(평상),19,open
2학년,역사관(평상),20,open
2학년,역사관(평상),21,open
2학년,역사관(평상),22,open
2학년,역사관(평상),23,open
3학년,역사관(평상),24,open
3학년,역사관(평상),25,open
3학년,역사관(평상),26,open
3학년,역사관(평상),27,open
3학년,역사관(평상),28,open
3학년,역사관(평상),29,open
3학년,역사관(평상),30,open
3학년,역사관(평상),31,open
3학년,역사관(평상),32,open
3학년,역사관(평상),33,open
3학년,역사관(평상),34,open
